ProjectID,ProjectName,StartDate,Employee ID
P101,Data Migration,01-03-2024,E001
P103,AI Implementation,10-07-2024,E001
P102,Website Revamp,15-05-2024,E002
P104,Customer Insights,20-08-2024,E002
P101,Data Migration,01-03-2024,E003
P105,Process Automation,12-09-2024,E003
P103,AI Implementation,10-07-2024,E004
P104,Customer Insights,20-08-2024,E004
P101,Data Migration,01-03-2024,E005
P105,Process Automation,12-09-2024,E005
P104,Customer Insights,20-08-2024,E001
P105,Process Automation,12-09-2024,E002
P102,Website Revamp,15-05-2024,E003
P105,Process Automation,12-09-2024,E004
P103,AI Implementation,10-07-2024,E005
